id:[11390], time_cost:[920], payload_size:[50176], speed:[54.539130]
id:[13223], time_cost:[984], payload_size:[46080], speed:[46.829268]
id:[13302], time_cost:[1170], payload_size:[33280], speed:[28.444444]
id:[12110], time_cost:[1620], payload_size:[49152], speed:[30.340741]
id:[12817], time_cost:[1134], payload_size:[12800], speed:[11.287478]
id:[10373], time_cost:[1664], payload_size:[25600], speed:[15.384615]
id:[13698], time_cost:[1187], payload_size:[47616], speed:[40.114575]
id:[10952], time_cost:[940], payload_size:[4608], speed:[4.902128]
id:[13019], time_cost:[1298], payload_size:[48128], speed:[37.078582]
id:[12118], time_cost:[1228], payload_size:[22528], speed:[18.345277]
id:[10583], time_cost:[933], payload_size:[40448], speed:[43.352626]
id:[14647], time_cost:[1290], payload_size:[24576], speed:[19.051163]
id:[13739], time_cost:[1073], payload_size:[7680], speed:[7.157502]
id:[11233], time_cost:[1308], payload_size:[34304], speed:[26.226300]
id:[10365], time_cost:[834], payload_size:[8704], speed:[10.436451]
id:[10802], time_cost:[1269], payload_size:[49664], speed:[39.136328]
id:[12789], time_cost:[1321], payload_size:[31232], speed:[23.642695]
id:[13074], time_cost:[1455], payload_size:[9216], speed:[6.334021]
id:[11838], time_cost:[1020], payload_size:[5120], speed:[5.019608]
id:[11130], time_cost:[1103], payload_size:[15872], speed:[14.389846]
id:[10759], time_cost:[1199], payload_size:[4096], speed:[3.416180]
id:[10946], time_cost:[1072], payload_size:[13312], speed:[12.417910]
id:[13326], time_cost:[1069], payload_size:[16384], speed:[15.326473]
id:[14035], time_cost:[1181], payload_size:[15360], speed:[13.005927]
id:[14495], time_cost:[1350], payload_size:[3584], speed:[2.654815]
id:[14728], time_cost:[1297], payload_size:[4096], speed:[3.158057]
id:[13976], time_cost:[1299], payload_size:[11776], speed:[9.065435]
id:[11588], time_cost:[1422], payload_size:[30720], speed:[21.603376]
id:[12617], time_cost:[1299], payload_size:[15872], speed:[12.218630]
id:[13539], time_cost:[1484], payload_size:[28672], speed:[19.320755]
id:[14520], time_cost:[1595], payload_size:[30208], speed:[18.939185]
id:[14124], time_cost:[1371], payload_size:[29696], speed:[21.660102]
id:[14739], time_cost:[1232], payload_size:[39936], speed:[32.415584]
id:[14040], time_cost:[1518], payload_size:[4608], speed:[3.035573]
id:[11747], time_cost:[1108], payload_size:[16384], speed:[14.787004]
id:[12542], time_cost:[1741], payload_size:[40448], speed:[23.232625]
id:[13542], time_cost:[1111], payload_size:[10752], speed:[9.677768]
id:[14539], time_cost:[1063], payload_size:[8704], speed:[8.188147]
id:[11613], time_cost:[1487], payload_size:[34816], speed:[23.413584]
id:[14241], time_cost:[1461], payload_size:[21504], speed:[14.718686]
id:[14178], time_cost:[1371], payload_size:[49664], speed:[36.224654]
id:[12014], time_cost:[1308], payload_size:[34304], speed:[26.226300]
id:[10422], time_cost:[1389], payload_size:[24576], speed:[17.693305]
id:[11354], time_cost:[1420], payload_size:[45056], speed:[31.729577]
id:[12507], time_cost:[1293], payload_size:[8192], speed:[6.335654]
