id:[12614], time_cost:[768], payload_size:[7168], speed:[9.333333]
id:[10243], time_cost:[952], payload_size:[3584], speed:[3.764706]
id:[13272], time_cost:[899], payload_size:[5632], speed:[6.264739]
id:[10459], time_cost:[556], payload_size:[512], speed:[0.920863]
id:[10149], time_cost:[582], payload_size:[1536], speed:[2.639175]
id:[13801], time_cost:[397], payload_size:[512], speed:[1.289673]
id:[10271], time_cost:[678], payload_size:[1536], speed:[2.265487]
id:[13152], time_cost:[648], payload_size:[5632], speed:[8.691358]
id:[11085], time_cost:[457], payload_size:[8704], speed:[19.045952]
id:[10158], time_cost:[940], payload_size:[3584], speed:[3.812766]
id:[10510], time_cost:[478], payload_size:[8192], speed:[17.138075]
id:[10388], time_cost:[600], payload_size:[2560], speed:[4.266667]
id:[11748], time_cost:[453], payload_size:[2560], speed:[5.651214]
id:[11087], time_cost:[665], payload_size:[8704], speed:[13.088722]
id:[10259], time_cost:[480], payload_size:[8192], speed:[17.066667]
id:[12547], time_cost:[804], payload_size:[5120], speed:[6.368159]
id:[11463], time_cost:[966], payload_size:[5120], speed:[5.300207]
id:[13497], time_cost:[570], payload_size:[1024], speed:[1.796491]
id:[11590], time_cost:[545], payload_size:[1536], speed:[2.818349]
id:[14809], time_cost:[767], payload_size:[5120], speed:[6.675359]
id:[14973], time_cost:[984], payload_size:[6656], speed:[6.764228]
id:[14838], time_cost:[840], payload_size:[7680], speed:[9.142857]
id:[14530], time_cost:[876], payload_size:[9728], speed:[11.105023]
id:[11132], time_cost:[768], payload_size:[4096], speed:[5.333333]
id:[10979], time_cost:[541], payload_size:[8192], speed:[15.142329]
id:[12480], time_cost:[575], payload_size:[1536], speed:[2.671304]
id:[13769], time_cost:[819], payload_size:[9216], speed:[11.252747]
id:[12527], time_cost:[760], payload_size:[7168], speed:[9.431579]
id:[14856], time_cost:[479], payload_size:[2560], speed:[5.344468]
id:[13455], time_cost:[762], payload_size:[7680], speed:[10.078740]
id:[11019], time_cost:[846], payload_size:[2560], speed:[3.026005]
id:[13122], time_cost:[684], payload_size:[5632], speed:[8.233918]
id:[10342], time_cost:[702], payload_size:[2560], speed:[3.646724]
id:[12902], time_cost:[747], payload_size:[5120], speed:[6.854083]
id:[13462], time_cost:[724], payload_size:[8192], speed:[11.314917]
id:[10220], time_cost:[811], payload_size:[6656], speed:[8.207152]
id:[14391], time_cost:[500], payload_size:[5120], speed:[10.240000]
id:[13742], time_cost:[716], payload_size:[2048], speed:[2.860335]
id:[11387], time_cost:[830], payload_size:[2048], speed:[2.467470]
id:[12536], time_cost:[1019], payload_size:[3584], speed:[3.517174]
id:[10769], time_cost:[948], payload_size:[6144], speed:[6.481013]
id:[11767], time_cost:[253], payload_size:[8192], speed:[32.379447]
id:[11796], time_cost:[1081], payload_size:[5120], speed:[4.736355]
id:[14572], time_cost:[665], payload_size:[5632], speed:[8.469173]
id:[12168], time_cost:[551], payload_size:[5632], speed:[10.221416]
id:[10229], time_cost:[806], payload_size:[9728], speed:[12.069479]
id:[13703], time_cost:[624], payload_size:[8704], speed:[13.948718]
id:[14433], time_cost:[763], payload_size:[512], speed:[0.671035]
id:[11115], time_cost:[668], payload_size:[1024], speed:[1.532934]
id:[13493], time_cost:[797], payload_size:[6656], speed:[8.351317]
id:[12554], time_cost:[787], payload_size:[7680], speed:[9.758577]
id:[10120], time_cost:[795], payload_size:[9216], speed:[11.592453]
id:[12110], time_cost:[833], payload_size:[5632], speed:[6.761104]
id:[11829], time_cost:[834], payload_size:[1024], speed:[1.227818]
id:[13071], time_cost:[263], payload_size:[5120], speed:[19.467681]
id:[12317], time_cost:[939], payload_size:[7680], speed:[8.178914]
id:[10754], time_cost:[1077], payload_size:[7680], speed:[7.130919]
id:[12159], time_cost:[934], payload_size:[2560], speed:[2.740899]
id:[13712], time_cost:[854], payload_size:[2560], speed:[2.997658]
id:[13449], time_cost:[555], payload_size:[4608], speed:[8.302703]
id:[10668], time_cost:[686], payload_size:[5120], speed:[7.463557]
id:[12603], time_cost:[631], payload_size:[5120], speed:[8.114105]
id:[12815], time_cost:[540], payload_size:[9728], speed:[18.014815]
id:[12993], time_cost:[382], payload_size:[8192], speed:[21.445026]
id:[14928], time_cost:[770], payload_size:[5632], speed:[7.314286]
id:[11543], time_cost:[338], payload_size:[4096], speed:[12.118343]
id:[12501], time_cost:[659], payload_size:[5632], speed:[8.546282]
id:[14253], time_cost:[1000], payload_size:[5120], speed:[5.120000]
id:[12613], time_cost:[646], payload_size:[8192], speed:[12.681115]
id:[14276], time_cost:[980], payload_size:[9216], speed:[9.404082]
id:[13780], time_cost:[816], payload_size:[7680], speed:[9.411765]
id:[11139], time_cost:[627], payload_size:[9216], speed:[14.698565]
id:[14307], time_cost:[608], payload_size:[5120], speed:[8.421053]
id:[11849], time_cost:[492], payload_size:[9216], speed:[18.731707]
id:[11184], time_cost:[960], payload_size:[3072], speed:[3.200000]
id:[14065], time_cost:[885], payload_size:[2560], speed:[2.892655]
id:[14495], time_cost:[620], payload_size:[8192], speed:[13.212903]
id:[14294], time_cost:[899], payload_size:[8192], speed:[9.112347]
id:[14979], time_cost:[495], payload_size:[2048], speed:[4.137374]
id:[11975], time_cost:[1022], payload_size:[6656], speed:[6.512720]
id:[14601], time_cost:[1000], payload_size:[3584], speed:[3.584000]
id:[12218], time_cost:[706], payload_size:[9216], speed:[13.053824]
id:[13898], time_cost:[901], payload_size:[5120], speed:[5.682575]
id:[12111], time_cost:[761], payload_size:[6656], speed:[8.746386]
id:[14838], time_cost:[405], payload_size:[3584], speed:[8.849383]
id:[11762], time_cost:[795], payload_size:[4096], speed:[5.152201]
id:[10102], time_cost:[834], payload_size:[7680], speed:[9.208633]
id:[14162], time_cost:[814], payload_size:[6656], speed:[8.176904]
id:[10798], time_cost:[850], payload_size:[9728], speed:[11.444706]
id:[10177], time_cost:[840], payload_size:[4096], speed:[4.876190]
id:[12550], time_cost:[747], payload_size:[3584], speed:[4.797858]
id:[13578], time_cost:[723], payload_size:[4096], speed:[5.665284]
id:[10013], time_cost:[1143], payload_size:[2048], speed:[1.791776]
id:[10993], time_cost:[990], payload_size:[9728], speed:[9.826263]
id:[11506], time_cost:[961], payload_size:[7168], speed:[7.458897]
id:[12742], time_cost:[547], payload_size:[1024], speed:[1.872029]
id:[13985], time_cost:[1199], payload_size:[4096], speed:[3.416180]
id:[14425], time_cost:[406], payload_size:[1536], speed:[3.783251]
id:[14688], time_cost:[576], payload_size:[10240], speed:[17.777778]
id:[11368], time_cost:[905], payload_size:[4096], speed:[4.525967]
id:[14682], time_cost:[769], payload_size:[7680], speed:[9.986996]
id:[11144], time_cost:[1083], payload_size:[4608], speed:[4.254848]
id:[14629], time_cost:[779], payload_size:[512], speed:[0.657253]
id:[13947], time_cost:[955], payload_size:[3072], speed:[3.216754]
id:[12220], time_cost:[954], payload_size:[3584], speed:[3.756813]
id:[11748], time_cost:[730], payload_size:[8704], speed:[11.923288]
id:[13911], time_cost:[1008], payload_size:[8704], speed:[8.634921]
id:[10153], time_cost:[992], payload_size:[3584], speed:[3.612903]
id:[11991], time_cost:[731], payload_size:[3584], speed:[4.902873]
id:[14095], time_cost:[1097], payload_size:[1024], speed:[0.933455]
id:[11439], time_cost:[910], payload_size:[3072], speed:[3.375824]
id:[14624], time_cost:[673], payload_size:[4096], speed:[6.086181]
id:[13397], time_cost:[878], payload_size:[4096], speed:[4.665148]
id:[12487], time_cost:[602], payload_size:[8704], speed:[14.458472]
id:[13044], time_cost:[1165], payload_size:[1536], speed:[1.318455]
id:[13493], time_cost:[682], payload_size:[512], speed:[0.750733]
id:[13675], time_cost:[715], payload_size:[512], speed:[0.716084]
id:[12241], time_cost:[707], payload_size:[512], speed:[0.724187]
id:[14444], time_cost:[1156], payload_size:[2560], speed:[2.214533]
id:[13657], time_cost:[470], payload_size:[10240], speed:[21.787234]
id:[14904], time_cost:[611], payload_size:[8704], speed:[14.245499]
id:[12686], time_cost:[660], payload_size:[5120], speed:[7.757576]
id:[12324], time_cost:[484], payload_size:[9216], speed:[19.041322]
id:[10863], time_cost:[1057], payload_size:[8704], speed:[8.234626]
id:[10529], time_cost:[310], payload_size:[5120], speed:[16.516129]
id:[11782], time_cost:[633], payload_size:[512], speed:[0.808847]
id:[14404], time_cost:[347], payload_size:[5632], speed:[16.230548]
id:[12486], time_cost:[982], payload_size:[512], speed:[0.521385]
id:[10289], time_cost:[500], payload_size:[3072], speed:[6.144000]
id:[11186], time_cost:[790], payload_size:[5632], speed:[7.129114]
id:[11725], time_cost:[637], payload_size:[8704], speed:[13.664050]
id:[10454], time_cost:[1055], payload_size:[2560], speed:[2.426540]
id:[11604], time_cost:[962], payload_size:[4096], speed:[4.257796]
id:[10573], time_cost:[598], payload_size:[3072], speed:[5.137124]
id:[12702], time_cost:[1111], payload_size:[6656], speed:[5.990999]
id:[11195], time_cost:[957], payload_size:[7680], speed:[8.025078]
id:[13734], time_cost:[413], payload_size:[5632], speed:[13.636804]
id:[10868], time_cost:[898], payload_size:[9216], speed:[10.262806]
id:[14276], time_cost:[814], payload_size:[4096], speed:[5.031941]
id:[11085], time_cost:[920], payload_size:[7168], speed:[7.791304]
id:[14431], time_cost:[1105], payload_size:[4608], speed:[4.170136]
id:[12095], time_cost:[949], payload_size:[2048], speed:[2.158061]
id:[14429], time_cost:[524], payload_size:[1024], speed:[1.954198]
id:[10407], time_cost:[969], payload_size:[7680], speed:[7.925697]
id:[11063], time_cost:[1107], payload_size:[8192], speed:[7.400181]
id:[14753], time_cost:[1104], payload_size:[7680], speed:[6.956522]
