id:[12976], time_cost:[606], payload_size:[4608], speed:[7.603960]
id:[13581], time_cost:[1349], payload_size:[40448], speed:[29.983692]
id:[11992], time_cost:[963], payload_size:[12800], speed:[13.291796]
id:[13560], time_cost:[918], payload_size:[48640], speed:[52.984749]
id:[13099], time_cost:[1276], payload_size:[8704], speed:[6.821317]
id:[14350], time_cost:[1346], payload_size:[5120], speed:[3.803863]
id:[13539], time_cost:[1302], payload_size:[44544], speed:[34.211982]
id:[14276], time_cost:[1256], payload_size:[27648], speed:[22.012739]
id:[10725], time_cost:[1148], payload_size:[26112], speed:[22.745645]
id:[11912], time_cost:[1015], payload_size:[15872], speed:[15.637438]
id:[12346], time_cost:[1210], payload_size:[38912], speed:[32.158678]
id:[10918], time_cost:[752], payload_size:[11264], speed:[14.978723]
id:[10891], time_cost:[995], payload_size:[9216], speed:[9.262312]
id:[11184], time_cost:[1302], payload_size:[26112], speed:[20.055300]
id:[10859], time_cost:[1250], payload_size:[22528], speed:[18.022400]
id:[13901], time_cost:[1236], payload_size:[41984], speed:[33.967638]
id:[10695], time_cost:[1115], payload_size:[11264], speed:[10.102242]
id:[13341], time_cost:[738], payload_size:[9728], speed:[13.181572]
id:[10602], time_cost:[889], payload_size:[11264], speed:[12.670416]
id:[12474], time_cost:[1323], payload_size:[49664], speed:[37.538927]
id:[13285], time_cost:[1221], payload_size:[37888], speed:[31.030303]
id:[13974], time_cost:[1425], payload_size:[49664], speed:[34.851930]
id:[13400], time_cost:[1124], payload_size:[9728], speed:[8.654804]
id:[12023], time_cost:[1090], payload_size:[4096], speed:[3.757798]
id:[10143], time_cost:[899], payload_size:[12288], speed:[13.668521]
id:[13114], time_cost:[1278], payload_size:[4096], speed:[3.205008]
id:[13006], time_cost:[1196], payload_size:[8192], speed:[6.849498]
id:[13842], time_cost:[1172], payload_size:[29696], speed:[25.337884]
id:[12071], time_cost:[781], payload_size:[39936], speed:[51.134443]
id:[13369], time_cost:[1078], payload_size:[47616], speed:[44.170686]
