id:[10497], time_cost:[347], payload_size:[3584], speed:[10.328530]
id:[10715], time_cost:[575], payload_size:[5120], speed:[8.904348]
id:[11303], time_cost:[525], payload_size:[2048], speed:[3.900952]
id:[13056], time_cost:[437], payload_size:[9216], speed:[21.089245]
id:[13644], time_cost:[746], payload_size:[6144], speed:[8.235925]
id:[10766], time_cost:[1001], payload_size:[9728], speed:[9.718282]
id:[10489], time_cost:[399], payload_size:[1536], speed:[3.849624]
id:[14694], time_cost:[330], payload_size:[5632], speed:[17.066667]
id:[11223], time_cost:[800], payload_size:[6656], speed:[8.320000]
id:[12102], time_cost:[667], payload_size:[6144], speed:[9.211394]
id:[11028], time_cost:[372], payload_size:[1024], speed:[2.752688]
id:[10646], time_cost:[652], payload_size:[7168], speed:[10.993865]
id:[11639], time_cost:[656], payload_size:[3584], speed:[5.463415]
id:[12441], time_cost:[485], payload_size:[10240], speed:[21.113402]
id:[10163], time_cost:[471], payload_size:[1536], speed:[3.261146]
id:[13657], time_cost:[624], payload_size:[2048], speed:[3.282051]
id:[11502], time_cost:[549], payload_size:[2560], speed:[4.663024]
id:[10331], time_cost:[821], payload_size:[3584], speed:[4.365408]
id:[10472], time_cost:[865], payload_size:[5120], speed:[5.919075]
id:[14384], time_cost:[657], payload_size:[2048], speed:[3.117199]
id:[11465], time_cost:[312], payload_size:[4608], speed:[14.769231]
id:[13400], time_cost:[662], payload_size:[9728], speed:[14.694864]
id:[13498], time_cost:[945], payload_size:[6144], speed:[6.501587]
id:[12353], time_cost:[734], payload_size:[1024], speed:[1.395095]
id:[14434], time_cost:[908], payload_size:[512], speed:[0.563877]
id:[14191], time_cost:[727], payload_size:[1024], speed:[1.408528]
id:[14413], time_cost:[793], payload_size:[1536], speed:[1.936948]
id:[10744], time_cost:[564], payload_size:[4608], speed:[8.170213]
id:[12936], time_cost:[569], payload_size:[7168], speed:[12.597540]
id:[14897], time_cost:[446], payload_size:[7168], speed:[16.071749]
id:[12006], time_cost:[469], payload_size:[8704], speed:[18.558635]
id:[10348], time_cost:[585], payload_size:[6144], speed:[10.502564]
id:[10488], time_cost:[569], payload_size:[10240], speed:[17.996485]
id:[13893], time_cost:[378], payload_size:[2048], speed:[5.417989]
id:[14339], time_cost:[734], payload_size:[512], speed:[0.697548]
id:[10547], time_cost:[570], payload_size:[5120], speed:[8.982456]
id:[12723], time_cost:[592], payload_size:[5120], speed:[8.648649]
id:[10939], time_cost:[666], payload_size:[6656], speed:[9.993994]
id:[12233], time_cost:[598], payload_size:[4096], speed:[6.849498]
id:[11022], time_cost:[530], payload_size:[4608], speed:[8.694340]
id:[10589], time_cost:[523], payload_size:[6656], speed:[12.726577]
id:[10522], time_cost:[511], payload_size:[3584], speed:[7.013699]
id:[12951], time_cost:[711], payload_size:[10240], speed:[14.402250]
id:[12335], time_cost:[689], payload_size:[5632], speed:[8.174165]
id:[11740], time_cost:[902], payload_size:[4608], speed:[5.108647]
id:[10468], time_cost:[370], payload_size:[4608], speed:[12.454054]
id:[11889], time_cost:[1050], payload_size:[1536], speed:[1.462857]
id:[14996], time_cost:[253], payload_size:[1024], speed:[4.047431]
id:[14406], time_cost:[352], payload_size:[6144], speed:[17.454545]
id:[13865], time_cost:[526], payload_size:[2560], speed:[4.866920]
id:[14110], time_cost:[890], payload_size:[7680], speed:[8.629213]
id:[14895], time_cost:[479], payload_size:[8192], speed:[17.102296]
id:[13903], time_cost:[882], payload_size:[4096], speed:[4.643991]
id:[11480], time_cost:[655], payload_size:[4608], speed:[7.035115]
id:[12137], time_cost:[482], payload_size:[3072], speed:[6.373444]
id:[11705], time_cost:[820], payload_size:[9728], speed:[11.863415]
id:[14051], time_cost:[909], payload_size:[8704], speed:[9.575358]
id:[10424], time_cost:[852], payload_size:[5120], speed:[6.009390]
id:[10566], time_cost:[823], payload_size:[512], speed:[0.622114]
id:[12928], time_cost:[630], payload_size:[5632], speed:[8.939683]
id:[11597], time_cost:[925], payload_size:[3072], speed:[3.321081]
id:[11363], time_cost:[635], payload_size:[5632], speed:[8.869291]
id:[13320], time_cost:[626], payload_size:[512], speed:[0.817891]
id:[13703], time_cost:[433], payload_size:[4608], speed:[10.642032]
id:[11938], time_cost:[575], payload_size:[6656], speed:[11.575652]
id:[13165], time_cost:[670], payload_size:[9216], speed:[13.755224]
id:[13867], time_cost:[807], payload_size:[2560], speed:[3.172243]
id:[10664], time_cost:[517], payload_size:[5632], speed:[10.893617]
id:[10809], time_cost:[899], payload_size:[4096], speed:[4.556174]
id:[10521], time_cost:[374], payload_size:[2048], speed:[5.475936]
id:[12255], time_cost:[626], payload_size:[5120], speed:[8.178914]
id:[12363], time_cost:[502], payload_size:[4608], speed:[9.179283]
